bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
笑傲江湖（全四册）,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0,77954,武侠的壳，政治斗争的核,https://img3.doubanio.com/view/subject/m/public/s2157335.jpg
巴黎圣母院,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.4,82893,潜藏于残缺下的美与崇高,https://img3.doubanio.com/view/subject/m/public/s4493741.jpg
莲花,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,8.0,88755,三个生命的交逢，灵魅清冷,https://img1.doubanio.com/view/subject/m/public/s1513548.jpg
我不喜欢这世界，我只喜欢你,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元,8.0,83579,一想到能和你共度余生，我就对余生充满期待,https://img1.doubanio.com/view/subject/m/public/s28342099.jpg
海边的卡夫卡,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1,85529,背负诅咒的少年，平行世界中的奥德赛,https://img3.doubanio.com/view/subject/m/public/s1094940.jpg
城南旧事,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.0,76177,长亭外，古道边，芳草碧连天,https://img1.doubanio.com/view/subject/m/public/s2654869.jpg
兄弟（上）,余华 / 上海文艺出版社 / 2005-8 / 16.00元,8.3,81177,历史苦难中的个人灾变,https://img3.doubanio.com/view/subject/m/public/s1427312.jpg
呐喊,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.9,74256,新文学的第一声呐喊,https://img3.doubanio.com/view/subject/m/public/s4696893.jpg
情书,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,77402,一场误会中的两段爱情，东方式的含蓄隐忍,https://img3.doubanio.com/view/subject/m/public/s1127135.jpg
肖申克的救赎,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,72020,希望让人自由，电影实在太有名,https://img3.doubanio.com/view/subject/m/public/s4007145.jpg
羊脂球,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,8.1,80654,资产阶级的道貌岸然,https://img3.doubanio.com/view/subject/m/public/s1469280.jpg
乌合之众,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元,8.2,81836,群氓心理剖析,https://img3.doubanio.com/view/subject/m/public/s1988393.jpg
动物农场,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,70902,太阳底下并无新事,https://img3.doubanio.com/view/subject/m/public/s2347590.jpg
安徒生童话故事集,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2,69966,远不是童话那么简单,https://img3.doubanio.com/view/subject/m/public/s1034062.jpg
神雕侠侣,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,71166,至情至性，情大于武,https://img9.doubanio.com/view/subject/m/public/s26018916.jpg
少有人走的路,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4,76045,成熟的心智通向更完善的自我,https://img3.doubanio.com/view/subject/m/public/s2144391.jpg
爱你就像爱生命,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,71553,王小波与李银河的两地书,https://img3.doubanio.com/view/subject/m/public/s4661043.jpg
红玫瑰与白玫瑰,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,72475,蚊子血还是饭黏子？,https://img3.doubanio.com/view/subject/m/public/s3695882.jpg
朝花夕拾,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,8.7,67374,鲁迅的旧事重提,https://img3.doubanio.com/view/subject/m/public/s2875823.jpg
